City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,thompson,55.7433,-97.8635,257.25,78,100,4.12,CA,1707483024
1,fort st. john,56.2524,-120.8469,259.09,85,20,1.54,CA,1707483025
2,horta,38.5368,-28.6301,289.96,74,100,1.34,PT,1707483026
3,nova sintra,14.8711,-24.6956,294.95,69,0,7.75,CV,1707483027
4,gornopravdinsk,60.0603,69.9229,265.28,96,100,2.05,RU,1707483028
5,chui,-33.6895,-53.4547,301.33,64,41,4.55,BR,1707483029
6,hawaiian paradise park,19.585,-154.9731,292.54,97,100,2.57,US,1707483030
7,grytviken,-54.2806,-36.5098,278.09,86,100,6.36,GS,1707483032
8,yellowknife,62.4541,-114.3774,251.45,90,20,3.09,CA,1707483033
9,badger,42.6144,-94.1462,275.09,75,100,5.14,US,1707483034
10,bayana,40.7419,107.382,271.34,56,100,6.85,CN,1707483035
11,happy valley-goose bay,53.2964,-60.3112,264.31,92,61,1.96,CA,1707483036
12,island harbour,49.6,-54.3,270.32,93,16,2.54,CA,1707483037
13,hilo,19.7074,-155.0816,293.45,98,100,2.57,US,1707483038
14,petropavlovsk-kamchatsky,53.02,158.6471,262.21,85,18,2.68,RU,1707483039
15,khandyga,62.6478,135.5751,229.76,100,83,0.96,RU,1707483040
16,lisala,2.1474,21.5157,313.58,16,62,0.98,CD,1707483040
17,ust-nera,64.5664,143.2378,236.09,100,76,1.17,RU,1707483041
18,marsh harbour,26.5383,-77.061,294.29,61,19,4.54,BS,1707483042
19,isafjordur,66.0727,-23.1194,270.2,59,75,6.17,IS,1707483043
20,adamstown,-25.0667,-130.1002,298.22,87,100,8.5,PN,1707483043
21,puerto baquerizo moreno,-0.9026,-89.6102,299.01,81,79,3.6,EC,1707483044
22,walvis bay,-22.9543,14.5075,301.68,44,0,1.03,NA,1707483045
23,port-aux-francais,-49.3498,70.22,280.12,92,100,14.17,TF,1707483046
