City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,siquijor,9.2156,123.5138,26.33,77,0,8.26,PH,1707831321
1,port-aux-francais,-49.3498,70.22,8.2,91,100,10.99,TF,1707831322
2,kon tum,14.3615,108.0039,17.27,93,4,1.72,VN,1707831322
3,celestun,20.8604,-90.3994,22.03,66,80,5.07,MX,1707831323
4,undurkhaan,47.3256,110.6649,-19.23,87,96,1.96,MN,1707831324
5,saipan,15.191,145.7467,22.11,88,75,9.77,MP,1707831325
6,huarmey,-10.0687,-78.1522,25.48,77,72,3.01,PE,1707831326
7,waitangi,-35.2705,174.0805,16.98,88,9,0.71,NZ,1707831327
8,adamstown,-25.0667,-130.1002,24.67,89,100,7.13,PN,1707831327
9,yellowknife,62.4541,-114.3774,-13.9,85,75,2.06,CA,1707831329
10,monmouth,51.8099,-2.716,10.4,95,100,1.79,GB,1707831329
11,tiksi,71.6366,128.8685,-30.99,100,100,2.09,RU,1707831330
12,shindand,33.3056,62.1566,15.2,18,0,0.68,AF,1707831331
13,la ronge,55.1005,-105.29,-3.9,74,100,3.09,CA,1707831332
14,jamestown,-15.9277,-5.7161,24.36,77,49,6.5,SH,1707831332
15,nemuro,43.3301,145.5829,1.23,88,1,6.3,JP,1707831333
16,santa isabel,-23.3194,-46.2272,29.66,52,100,4.32,BR,1707831334
17,margaret river,-33.9532,115.0769,16.28,65,91,6.68,AU,1707831335
18,santa cruz,28.4696,-16.2541,27.52,62,20,4.63,ES,1707831335
19,east london,-33.0192,27.8999,24.64,73,40,6.69,ZA,1707831336
20,thompson,55.7433,-97.8635,-8.9,92,100,2.06,CA,1707831337
21,peace river,56.2337,-117.2911,-6.42,86,0,2.57,CA,1707831338
22,vilyuysk,63.7541,121.6265,-31.67,98,99,1.34,RU,1707831338
23,udalguri,26.7504,92.0977,19.81,37,0,2.74,IN,1707831339
24,jastrebarsko,45.6717,15.6504,13.02,100,42,2.25,HR,1707831340
25,colonia,50.9384,6.96,11.59,59,75,5.66,DE,1707831341
26,ushuaia,-54.8061,-68.3185,13.83,44,0,6.69,AR,1707831341
27,badger,42.6144,-94.1462,-3.65,93,0,1.54,US,1707831342
28,bredasdorp,-34.5322,20.0403,28.8,33,10,7.57,ZA,1707831259
29,magadan,59.5605,150.7989,-27.43,100,84,1.7,RU,1707831344
30,barra de santo antonio,-9.4038,-35.5118,30.56,68,92,4.62,BR,1707831344
31,flying fish cove,-10.4213,105.6744,26.24,88,11,1.54,CX,1707831345
32,olonkinbyen,70.9224,-8.716,-1.44,98,100,5.73,SJ,1707831346
33,inari,68.9062,27.0261,-14.9,90,100,4.28,FI,1707831347
34,forster,-32.1806,152.5117,22.4,82,0,6.32,AU,1707831169
35,jijiga,9.3509,42.8004,27.28,28,74,3.23,ET,1707831348
36,tura,47.39,0.6889,10.67,77,75,6.17,FR,1707831257
37,hermanus,-34.4175,19.2361,23.8,71,39,5.14,ZA,1707831350
38,freetown,8.479,-13.268,30.56,55,24,5.66,SL,1707831350
39,klyuchi,56.3182,160.8422,-22.38,81,40,1.32,RU,1707831351
40,vorgashor,67.5812,63.7837,-33.07,95,11,2.52,RU,1707831352
41,dudinka,69.4061,86.1751,-37.38,99,18,1.79,RU,1707831353
42,kalmunai,7.4132,81.8269,25.15,89,9,4.09,LK,1707831353
43,puerto natales,-51.7262,-72.506,18.32,59,100,6.17,CL,1707831354
44,longyearbyen,78.2232,15.6464,-8.85,79,0,4.12,SJ,1707831355
45,albany,42.6512,-73.755,2.12,79,100,2.57,US,1707831356
46,kailua-kona,19.6419,-155.9969,21.98,65,0,1.54,US,1707831356
47,independence,39.0925,-94.4138,4.01,68,75,4.63,US,1707831357
48,sanctuary point,-35.1114,150.629,23.51,77,5,2.79,AU,1707831358
49,morrinhos,-17.7334,-49.1059,28.09,52,19,3.28,BR,1707831359
50,tazovsky,67.4735,78.7149,-39.27,100,36,1.08,RU,1707831359
51,trairi,-3.2777,-39.2681,29.34,73,60,4.75,BR,1707831360
52,buka,-5.2314,154.6315,28.25,76,100,2.49,PG,1707831361
53,tolanaro,-25.0297,46.9904,24.88,100,75,7.2,MG,1707831362
54,anadyr,64.7317,177.5061,-29.07,75,40,5.0,RU,1707831363
55,torre de moncorvo,41.1739,-7.0526,15.48,83,100,1.58,PT,1707831364
56,tabuk,28.4013,36.567,25.03,11,0,6.17,SA,1707831364
57,bilibino,68.055,166.4449,-31.71,98,93,2.21,RU,1707831365
58,port alfred,-33.5982,26.8915,22.81,80,97,4.02,ZA,1707831366
59,tobelo,1.7263,127.9999,26.3,84,20,1.19,ID,1707831367
60,talnakh,69.494,88.3908,-35.73,88,18,1.62,RU,1707831367
61,ilulissat,69.2197,-51.0986,-20.84,54,40,2.06,GL,1707831368
62,vadso,70.2267,29.7828,-12.01,85,75,7.72,NO,1707831369
63,funafuti,-8.52,179.1983,28.0,94,75,2.57,TV,1707831370
64,qaqortoq,60.7182,-46.0385,-0.09,98,100,5.15,GL,1707831371
65,kralendijk,12.1473,-68.274,28.03,74,75,8.75,BQ,1707831372
66,lerwick,60.1531,-1.1427,7.01,77,44,13.22,GB,1707831373
67,bethel,60.7922,-161.7558,0.19,100,100,4.63,US,1707831374
68,boende,-0.2837,20.8826,37.55,30,76,0.95,CD,1707831375
69,nikolayevsk-on-amure,53.1387,140.7249,-16.4,96,100,1.65,RU,1707831376
70,kapuskasing,49.4167,-82.4333,-18.95,84,75,3.09,CA,1707831377
71,hasaki,35.753,140.8201,11.22,62,0,3.93,JP,1707831377
72,kuhmo,64.1262,29.5195,-16.44,93,14,2.84,FI,1707831378
73,iqaluit,63.7494,-68.5219,-21.03,71,100,0.0,CA,1707831379
74,zdvinsk,54.704,78.6676,-12.98,90,100,5.66,RU,1707831380
75,enewetak,11.3409,162.3245,26.3,72,39,9.37,MH,1707831381
76,west island,-12.1459,96.8423,29.03,74,75,6.17,CC,1707831382
77,grytviken,-54.2806,-36.5098,7.62,88,100,3.2,GS,1707831383
78,chiredzi,-21.0453,31.6689,34.06,26,0,3.49,ZW,1707831383
79,egilsstadir,65.262,-14.4035,0.94,86,100,5.14,IS,1707831384
80,al jawf,24.1985,23.2939,24.54,21,0,7.92,LY,1707831385
81,mckenzie,31.5424,-86.715,6.82,78,100,4.19,US,1707831386
82,mount gambier,-37.8247,140.782,14.8,56,89,5.43,AU,1707831386
83,tsumeb,-19.2484,17.7088,33.73,24,4,5.14,NA,1707831387
84,grand falls-windsor,48.9442,-55.6526,-2.14,79,15,1.34,CA,1707831388
85,hamilton,43.2561,-79.8729,0.69,84,100,2.06,CA,1707831362
86,lorengau,-2.033,147.2789,27.46,81,99,4.2,PG,1707831389
87,happy valley-goose bay,53.2964,-60.3112,-6.71,86,100,4.63,CA,1707831390
88,sola,37.5667,126.9783,7.69,93,1,2.06,KR,1707831391
89,port mathurin,-19.6808,63.4221,27.65,85,55,8.95,MU,1707831392
90,nova sintra,14.8711,-24.6956,20.03,78,3,5.84,CV,1707831392
91,isna,25.2937,32.5532,30.01,8,0,6.9,EG,1707831393
92,sault ste. marie,46.5239,-84.3201,-5.02,78,100,4.63,CA,1707831222
93,iskateley,67.6762,53.1292,-29.41,98,67,3.58,RU,1707831395
94,caluula,11.9664,50.7571,26.49,74,0,9.06,SO,1707831396
95,udachny,66.4118,112.2517,-32.92,99,100,3.03,RU,1707831396
96,masterton,-40.9496,175.6594,12.69,97,10,1.29,NZ,1707831397
97,hithadhoo,1.7959,73.3876,27.99,80,100,7.08,MV,1707831398
98,ola,35.0323,-93.2232,0.06,89,0,1.62,US,1707830841
99,punta arenas,-53.1626,-70.9078,13.16,62,75,10.29,CL,1707831400
100,crane,31.3957,-102.3521,6.11,41,0,4.27,US,1707831402
101,blackmans bay,-43.0047,147.318,15.68,65,97,1.34,AU,1707831403
102,suva,-18.1416,178.4422,26.71,94,20,1.54,FJ,1707831403
103,uiju,40.1977,124.5311,1.49,98,100,1.68,KP,1707831404
104,la libertad,17.6864,-91.7211,20.3,89,100,2.57,MX,1707831405
105,namanga,-2.5474,36.7905,30.2,33,85,5.26,KE,1707831406
106,kamaishi,39.2757,141.8858,8.25,75,18,5.46,JP,1707831406
107,whitehorse,60.7216,-135.0549,-6.57,79,100,1.54,CA,1707831408
108,wailua homesteads,22.0581,-159.3691,21.4,84,0,4.12,US,1707831408
109,keflavik,63.9998,-22.5565,-0.05,80,20,9.26,IS,1707831409
110,talakan,50.2948,130.2826,-12.05,93,98,4.71,RU,1707831410
111,troitsko-pechorsk,62.7145,56.1854,-22.54,98,99,3.2,RU,1707831410
112,georgetown,6.8137,-58.1624,25.16,76,95,6.31,GY,1707831411
113,afaahiti,-17.739,-149.29,26.51,89,100,8.84,PF,1707831412
114,beyneu,45.3214,55.1862,10.3,59,100,4.51,KZ,1707831413
115,invercargill,-46.4118,168.3471,11.94,86,3,2.84,NZ,1707831413
116,valparaiso,-33.0458,-71.6197,22.19,78,100,6.69,CL,1707831414
117,arno,7.063,171.5553,27.92,74,100,4.63,MH,1707831415
118,lukuledi,-10.5676,38.8053,25.25,91,100,1.97,TZ,1707831416
119,papatowai,-46.5619,169.4708,15.63,72,96,1.74,NZ,1707831416
120,sao gabriel da cachoeira,-0.125,-67.0814,27.76,83,0,2.06,BR,1707831417
121,stanley,-51.6951,-57.8492,13.19,66,0,5.66,FK,1707831418
122,arraial do cabo,-22.9663,-42.0244,30.99,66,0,5.66,BR,1707831419
123,constantia,44.1767,28.6508,12.47,63,100,4.53,RO,1707831420
124,puerto ayora,-0.7472,-90.3134,26.78,100,99,2.24,EC,1707831421
125,nishinoomote,30.7325,130.9971,16.62,62,88,4.32,JP,1707831421
126,tamanrasset,22.7855,5.5324,28.9,10,0,3.09,DZ,1707831423
